Depth,qc,fs,Inclination,dummy,fs/qc
0.01,0.529,0,0,0.5,0
0.02,0.639,0,0,1,0
0.03,0.753,0,0,1,0
0.04,0.792,0.001,0,1,0.00126262626262626
0.05,0.838,0.002,0,1,0.00238663484486874
0.06,0.958,0.003,0.29,1,0.00313152400835073
0.07,1.029,0.004,0.36,1,0.00388726919339164
0.08,1.147,0.005,0.44,1,0.004359197907585
0.09,1.214,0.007,0.58,1,0.0057660626029654
0.1,1.246,0.007,0.57,1,0.00561797752808989
0.11,1.296,0.008,0.55,0.8,0.00617283950617284
0.12,1.328,0.008,0.53,1,0.00602409638554217
0.13,1.384,0.009,0.52,1,0.0065028901734104
0.14,1.42,0.009,0.51,1,0.00633802816901408
0.15,1.626,0.01,0.5,1,0.00615006150061501
0.16,1.793,0.01,0.49,1,0.00557724484104852
0.17,2.098,0.011,0.48,1,0.00524308865586273
0.18,2.3,0.011,0.47,1,0.00478260869565217
0.19,2.403,0.012,0.46,1,0.00499375780274657
0.2,2.599,0.012,0.44,1,0.00461716044632551
0.21,2.755,0.013,0.43,1,0.00471869328493648
0.22,3.017,0.013,0.43,1,0.00430891614186278
0.23,3.312,0.013,0.41,0.8,0.00392512077294686
0.24,3.348,0.014,0.4,1,0.0041816009557945
0.25,3.365,0.014,0.39,1,0.00416047548291233
0.26,3.479,0.014,0.38,1,0.00402414486921529
0.27,3.553,0.014,0.37,1,0.00394033211370673
0.28,3.706,0.014,0.36,1,0.00377765785213168
0.29,3.898,0.015,0.36,1,0.00384812724474089
0.3,4.018,0.016,0.37,1,0.0039820806371329
0.31,4.231,0.017,0.38,1,0.00401796265658237
0.32,4.469,0.019,0.39,1,0.00425151040501231
0.33,4.604,0.02,0.41,1,0.00434404865334492
0.34,4.906,0.023,0.44,1,0.00468813697513249
0.35,5.201,0.025,0.46,1,0.00480676792924438
0.36,5.371,0.027,0.48,1,0.00502699683485384
0.37,5.605,0.029,0.49,1,0.00517395182872435
0.38,5.875,0.032,0.5,1,0.0054468085106383
0.39,6.12,0.034,0.51,1,0.00555555555555556
0.4,6.457,0.035,0.51,1,0.00542047390428992
0.41,6.677,0.037,0.5,1,0.00554141081323948
0.42,7.103,0.038,0.49,1,0.00534985217513727
0.43,7.49,0.04,0.48,1,0.00534045393858478
0.44,8.158,0.041,0.47,1,0.00502574160333415
0.45,8.715,0.043,0.47,1,0.00493402180149168
0.46,9.155,0.044,0.46,1,0.00480611687602403
0.47,9.94,0.046,0.46,1,0.00462776659959759
0.48,10.522,0.048,0.46,0.8,0.00456187036685041
0.49,10.735,0.049,0.46,1,0.00456450861667443
0.5,11.115,0.051,0.46,0.8,0.00458839406207827
0.51,11.285,0.053,0.46,1,0.00469649977846699
0.52,11.555,0.054,0.47,0.8,0.00467330160103851
0.53,11.665,0.055,0.47,1,0.00471495927989713
0.54,11.828,0.057,0.48,0.8,0.00481907338518769
0.55,11.903,0.058,0.48,1,0.00487272116273208
0.56,12.027,0.059,0.49,0.8,0.00490562900141349
0.57,12.073,0.06,0.49,1,0.00496976724923383
0.58,12.151,0.061,0.5,1,0.00502016294955148
0.59,12.265,0.062,0.5,0.8,0.00505503465144721
0.6,12.325,0.063,0.51,1,0.00511156186612576
0.61,12.46,0.064,0.51,0.8,0.00513643659711075
0.62,12.531,0.066,0.52,1,0.00526693799377544
0.63,12.655,0.067,0.53,0.8,0.00529435005926511
0.64,12.705,0.069,0.54,1,0.00543093270365998
0.65,12.843,0.071,0.55,0.8,0.00552830335591373
0.66,12.925,0.073,0.56,1,0.00564796905222437
0.67,13.145,0.076,0.57,1,0.00578166603271206
0.68,13.262,0.078,0.58,0.8,0.00588146584225607
0.69,13.504,0.08,0.59,1,0.00592417061611374
0.7,13.731,0.082,0.59,0.8,0.00597188842764547
0.71,13.848,0.084,0.6,1,0.00606585788561525
0.72,14.068,0.086,0.6,0.8,0.00611316462894512
0.73,14.185,0.088,0.61,0.8,0.0062037363412055
0.74,14.437,0.089,0.61,0.8,0.00616471566114844
0.75,14.562,0.091,0.62,1,0.00624914160142838
0.76,14.743,0.093,0.62,1,0.00630807841009292
0.77,14.814,0.094,0.63,1,0.00634534899419468
0.78,14.97,0.097,0.64,1,0.00647962591850367
0.79,15.051,0.099,0.64,1,0.00657763603747259
0.8,15.233,0.101,0.65,0.8,0.00663034202061314
0.81,15.46,0.104,0.66,0.8,0.00672703751617076
0.82,15.627,0.106,0.67,1,0.00678313175913483
0.83,15.964,0.109,0.67,0.8,0.00682786269105487
0.84,16.124,0.111,0.68,0.8,0.00688414785413049
0.85,16.415,0.114,0.69,0.8,0.0069448674992385
0.86,16.553,0.116,0.69,1,0.00700779314927808
0.87,16.837,0.117,0.69,1,0.0069489814099899
0.88,16.968,0.118,0.69,0.8,0.00695426685525695
0.89,17.231,0.119,0.68,1,0.0069061575068191
0.9,17.373,0.119,0.68,0.8,0.00684970931905831
0.91,17.618,0.118,0.66,0.8,0.00669769553865365
